# index    orig_data      orig+rem     orig+rem+cf     VQE_no_noise
1      -1451.81202116      -1451.83571713      -1451.84737543     -1451.81127746
1      -1451.32664725      -1451.31021949      -1451.30149051     -1451.30222300
2      -1451.36188000      -1451.34876935      -1451.33469633     -1451.32944876
3      -1451.69650100      -1451.71460339      -1451.70988420     -1451.70151781
4      -1451.80211593      -1451.82993900      -1451.82845689     -1451.82382931
5      -1451.80076015      -1451.82836189      -1451.82703915     -1451.82620326
6      -1451.80857133      -1451.83698743      -1451.83502883     -1451.84828817
7      -1451.81463224      -1451.84353729      -1451.84161429     -1451.83308793
8      -1451.82240004      -1451.85188891      -1451.84377691     -1451.85035767
9      -1451.82416015      -1451.85379392      -1451.84597334     -1451.85166546
10      -1451.82009608      -1451.84939280      -1451.84090810     -1451.84992131
11      -1451.81971438      -1451.84892486      -1451.84001671     -1451.85155411
12      -1451.82042929      -1451.84975499      -1451.84099533     -1451.84939272
13      -1451.82256162      -1451.85213313      -1451.84368613     -1451.84964558
14      -1451.82349956      -1451.85307794      -1451.84272249     -1451.84961345
15      -1451.82425327      -1451.85395634      -1451.84311908     -1451.85027964
16      -1451.82287525      -1451.85244774      -1451.84278015     -1451.85015539
17      -1451.82144565      -1451.85084735      -1451.84050591     -1451.85127627
18      -1451.82169353      -1451.85121060      -1451.83937203     -1451.85201664
19      -1451.82123082      -1451.85058230      -1451.84009965     -1451.85270414
20      -1451.82331942      -1451.85276132      -1451.84114513     -1451.85197664
21      -1451.82117236      -1451.85043965      -1451.83928137     -1451.85200646
1      -1451.81655944      -1451.84036152      -1451.83660576     -1451.85271374
1      -1451.81829676      -1451.84222345      -1451.83838284     -1451.85271374
1      -1451.32774227      -1451.31215544      -1451.30361471     -1451.30222300
2      -1451.43597902      -1451.43005833      -1451.42081362     -1451.39749047
3      -1451.51089524      -1451.51142678      -1451.50528643     -1451.46836914
4      -1451.55374813      -1451.55785736      -1451.55362613     -1451.52341034
5      -1451.60342118      -1451.61148286      -1451.60879712     -1451.57016346
6      -1451.64780275      -1451.65927279      -1451.65750565     -1451.61083903
7      -1451.67568725      -1451.68942839      -1451.68939110     -1451.64420348
8      -1451.70227285      -1451.71806171      -1451.71942031     -1451.67371057
9      -1451.72124866      -1451.73848781      -1451.74090298     -1451.69906273
10      -1451.73985542      -1451.75848980      -1451.76176107     -1451.71967492
11      -1451.75096632      -1451.77045216      -1451.77438290     -1451.73623787
12      -1451.76399782      -1451.78449017      -1451.78913573     -1451.75031660
13      -1451.77114630      -1451.79219797      -1451.79727429     -1451.76236460
14      -1451.77951333      -1451.80115654      -1451.80692924     -1451.77215762
15      -1451.78180550      -1451.80358240      -1451.80934799     -1451.78077325
16      -1451.78776868      -1451.80996824      -1451.81602722     -1451.78698240
17      -1451.79256152      -1451.81514506      -1451.82162324     -1451.79164754
18      -1451.79807107      -1451.82104968      -1451.82776876     -1451.79553577
19      -1451.79933033      -1451.82237557      -1451.82938659     -1451.79883035
20      -1451.80086539      -1451.82403219      -1451.83102874     -1451.80161747
21      -1451.80141222      -1451.82456884      -1451.83163270     -1451.80366924
22      -1451.80242651      -1451.82554781      -1451.83255542     -1451.80537475
23      -1451.80374230      -1451.82698025      -1451.83401210     -1451.80680786
24      -1451.80534131      -1451.82870588      -1451.83597551     -1451.80775665
25      -1451.80934537      -1451.83298821      -1451.84042622     -1451.80859330
26      -1451.80735339      -1451.83085897      -1451.83821597     -1451.80944486
27      -1451.80678397      -1451.83022409      -1451.83744442     -1451.81010639
28      -1451.81071932      -1451.83443707      -1451.84181412     -1451.81068984
29      -1451.81008815      -1451.83370746      -1451.84119636     -1451.81113480
30      -1451.81168984      -1451.83546034      -1451.84290808     -1451.81133395
31      -1451.81208868      -1451.83584155      -1451.84334120     -1451.81127746
1      -1451.32555391      -1451.30988316      -1451.30189541     -1451.30222300
2      -1451.35742785      -1451.34425161      -1451.33171162     -1451.32503189
3      -1451.57908023      -1451.58328735      -1451.59209298     -1451.58636499
4      -1451.59220222      -1451.59744515      -1451.60731766     -1451.59566024
5      -1451.60659149      -1451.61294388      -1451.61815036     -1451.60951004
6      -1451.62993789      -1451.63829002      -1451.64478759     -1451.64760503
7      -1451.63267949      -1451.64123786      -1451.64852458     -1451.63976193
8      -1451.69877500      -1451.71260006      -1451.71837918     -1451.71092833
9      -1451.78190094      -1451.80215370      -1451.80196894     -1451.80205882
10      -1451.81593511      -1451.83888790      -1451.83718334     -1451.84618714
11      -1451.81729270      -1451.84041848      -1451.84077306     -1451.84138887
12      -1451.82362157      -1451.84721261      -1451.84537110     -1451.85037648
13      -1451.82329499      -1451.84679152      -1451.84479452     -1451.85222181
14      -1451.82277032      -1451.84620591      -1451.84313049     -1451.85232134
15      -1451.82167069      -1451.84506711      -1451.84340114     -1451.85206692
16      -1451.82219355      -1451.84562154      -1451.84324374     -1451.85247847
1      -1451.81151580      -1451.83519599      -1451.84731256     -1451.81127746
1      -1451.62213981      -1451.62930782      -1451.63114061     -1451.69178721
2      -1451.71315731      -1451.72660274      -1451.73352992     -1451.75572833
3      -1451.74388616      -1451.75895689      -1451.76721099     -1451.79140323
4      -1451.79122222      -1451.80945293      -1451.82030836     -1451.82412902
5      -1451.79659165      -1451.81514297      -1451.82633326     -1451.82598913
6      -1451.79749781      -1451.81611749      -1451.82724318     -1451.82789148
7      -1451.80911912      -1451.82851313      -1451.83906457     -1451.83899059
8      -1451.80722527      -1451.82652444      -1451.83686226     -1451.84113177
9      -1451.80848212      -1451.82789830      -1451.83720329     -1451.84374050
10      -1451.80587499      -1451.82500319      -1451.83555121     -1451.84441293
11      -1451.80917954      -1451.82855849      -1451.83799188     -1451.84428932
12      -1451.80881169      -1451.82812493      -1451.83757459     -1451.84436065
13      -1451.81171456      -1451.83124976      -1451.83886785     -1451.84433763
14      -1451.81154615      -1451.83102133      -1451.83945460     -1451.84481628
15      -1451.81025178      -1451.82968186      -1451.83778968     -1451.84534049
16      -1451.81074907      -1451.83018691      -1451.83841980     -1451.84563711
17      -1451.81389800      -1451.83361724      -1451.84207237     -1451.84788558
18      -1451.81385226      -1451.83347776      -1451.83931265     -1451.84804934
19      -1451.81107772      -1451.83053309      -1451.83924692     -1451.84808276
20      -1451.81523169      -1451.83497677      -1451.84092555     -1451.84947229
21      -1451.81323737      -1451.83279283      -1451.84002075     -1451.85037408
1      -1451.81550689      -1451.83529190      -1451.84414480     -1451.85037408
1      -1451.81653252      -1451.84029732      -1451.83699657     -1451.85271374
1      -1451.81903941      -1451.84819345      -1451.84146907     -1451.85200646
1      -1451.81886275      -1451.84281102      -1451.83847890     -1451.85271374
1      -1451.82005056      -1451.84927920      -1451.84171553     -1451.85200646
1      -1451.82047499      -1451.84973907      -1451.84263762     -1451.85200646
1      -1451.62303335      -1451.63207365      -1451.63213477     -1451.69178721
2      -1451.65230565      -1451.66363450      -1451.66521628     -1451.71531060
3      -1451.67164577      -1451.68456274      -1451.68716233     -1451.72617131
4      -1451.68075687      -1451.69442577      -1451.69757139     -1451.73465063
5      -1451.69456291      -1451.70935239      -1451.71310775     -1451.74219540
6      -1451.69851502      -1451.71353819      -1451.71749241     -1451.74921372
7      -1451.70652887      -1451.72215813      -1451.72650064     -1451.75569507
8      -1451.71693062      -1451.73328543      -1451.73815486     -1451.76140744
9      -1451.72564457      -1451.74262595      -1451.74778443     -1451.76648665
10      -1451.72582463      -1451.74276539      -1451.74802883     -1451.77117416
11      -1451.73143987      -1451.74882999      -1451.75431776     -1451.77551490
12      -1451.73602800      -1451.75371299      -1451.75931153     -1451.77948585
13      -1451.74013498      -1451.75813890      -1451.76395438     -1451.78299708
14      -1451.74440664      -1451.76260571      -1451.76850443     -1451.78601860
15      -1451.74926682      -1451.76785059      -1451.77410784     -1451.78867203
16      -1451.74838609      -1451.76682083      -1451.77292152     -1451.79100665
17      -1451.75169371      -1451.77041115      -1451.77666411     -1451.79297525
18      -1451.75669186      -1451.77570894      -1451.78217723     -1451.79457101
19      -1451.75502653      -1451.77383697      -1451.78014013     -1451.79583069
20      -1451.75236622      -1451.77098858      -1451.77724214     -1451.79684527
21      -1451.75793262      -1451.77693473      -1451.78343879     -1451.79764742
1      -1451.32548018      -1451.31130091      -1451.30361857     -1451.30222300
2      -1451.58106651      -1451.58488750      -1451.57370899     -1451.64578036
3      -1451.75210386      -1451.76733387      -1451.76890010     -1451.69599044
4      -1451.73950148      -1451.75379874      -1451.75281983     -1451.78576557
5      -1451.79001137      -1451.80768973      -1451.80966476     -1451.78924321
6      -1451.80634891      -1451.82494260      -1451.82857438     -1451.74397721
7      -1451.78243489      -1451.79921911      -1451.80173360     -1451.69738708
8      -1451.77680625      -1451.79309231      -1451.79507745     -1451.67733012
9      -1451.79222605      -1451.80962729      -1451.81227275     -1451.67344060
10      -1451.80500801      -1451.82333710      -1451.82663177     -1451.67817732
11      -1451.81392239      -1451.83286997      -1451.83473666     -1451.68468766
12      -1451.81119539      -1451.82999300      -1451.83347961     -1451.68940935
13      -1451.80983417      -1451.82856854      -1451.83194466     -1451.69137566
14      -1451.80818626      -1451.82676064      -1451.83017216     -1451.68993514
15      -1451.80624826      -1451.82476544      -1451.82834952     -1451.68681266
16      -1451.80694765      -1451.82547457      -1451.82898969     -1451.68458654
17      -1451.80936636      -1451.82808569      -1451.83061590     -1451.68365987
18      -1451.81216482      -1451.83107014      -1451.83185569     -1451.68327875
19      -1451.81232986      -1451.83121543      -1451.83368689     -1451.68310311
20      -1451.81364303      -1451.83268709      -1451.83624454     -1451.68261135
21      -1451.81330042      -1451.83226410      -1451.83536469     -1451.68161995
22      -1451.81834530      -1451.83768145      -1451.83882275     -1451.68041189
23      -1451.81711359      -1451.83642907      -1451.83670392     -1451.67910038
24      -1451.81824418      -1451.83764541      -1451.83833567     -1451.67801583
25      -1451.81784533      -1451.83721049      -1451.83751781     -1451.67658793
26      -1451.81519025      -1451.83436378      -1451.83572105     -1451.67485482
27      -1451.81524034      -1451.83440918      -1451.83598973     -1451.67231493
28      -1451.81962456      -1451.83905596      -1451.83978112     -1451.66949552
29      -1451.81874307      -1451.83809381      -1451.83922796     -1451.66673781
30      -1451.81529505      -1451.83436676      -1451.83581190     -1451.66386606
31      -1451.81726238      -1451.83649388      -1451.83770644     -1451.66106023
32      -1451.81779972      -1451.83701919      -1451.83610198     -1451.65849293
33      -1451.81698653      -1451.83616977      -1451.83764072     -1451.65648387
34      -1451.81669596      -1451.83585117      -1451.83726529     -1451.65492598
35      -1451.81570060      -1451.83480107      -1451.83602019     -1451.65414362
36      -1451.81722466      -1451.83644302      -1451.83754970     -1451.65406918
37      -1451.82025736      -1451.83965495      -1451.83894300     -1451.65458487
38      -1451.81983724      -1451.83917991      -1451.83728072     -1451.65495705
39      -1451.81805349      -1451.83728760      -1451.83801737     -1451.65474553
40      -1451.81843984      -1451.83771095      -1451.83871858     -1451.65369337
41      -1451.81905200      -1451.83839755      -1451.83767801     -1451.65146909
1      -1451.75929442      -1451.77839497      -1451.78610012     -1451.79764742
1      -1451.82313755      -1451.85264893      -1451.84474433     -1451.85200646
1      -1451.75879817      -1451.77788334      -1451.78555329     -1451.79764742
1      -1451.81807771      -1451.83737004      -1451.83563342     -1451.65146909
