
Host: ubuntu

Timers On : Wed Nov  9 14:42:07 2022
Timers Off: Wed Nov  9 14:51:53 2022

Wall Time:      585.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: AO-Met. Contraction      :      2.917u      0.017s      1.772w     10 calls
| DFH: transform()                  :      2.183u      0.383s      1.545w      1 calls
| | Libint2ERI::Libint2ERI          :      0.433u      0.000s      0.262w      1 calls
| | DFH: Grabbing AOs               :      0.017u      0.067s      0.057w     10 calls
| | DFH: Total Workflow             :      1.617u      0.033s      0.987w     20 calls
| | | DFH: Total Transform          :      1.617u      0.033s      0.987w     20 calls
| | | | DFH: 1st Contraction        :      0.900u      0.033s      0.564w     10 calls
| | | | DFH: 2nd Contraction        :      0.717u      0.000s      0.423w     10 calls
| | DFH: MO to disk                 :      0.117u      0.283s      0.233w     10 calls
| | DFH: Direct Contractions        :      0.000u      0.000s      0.000w      1 calls
| JK: D                             :      0.000u      0.000s      0.000w      1 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      1 calls
| JK: JK                            :      0.333u      0.000s      0.205w      1 calls
| | DFH: compute_JK()               :      0.333u      0.000s      0.205w      1 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      1 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.034w      1 calls
| | | DFH: compute_K                :      0.283u      0.000s      0.169w      1 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      1 calls
| Rotate RDMs                       :      0.233u      0.000s      0.149w      1 calls
make_cumulant_L2aa                  :      0.000u      0.000s      0.000w      2 calls
make_cumulant_L2ab                  :      0.000u      0.000s      0.000w      1 calls
make_cumulant_L3aaa                 :      0.000u      0.000s      0.001w      2 calls
make_cumulant_L3aab                 :      0.000u      0.000s      0.000w      1 calls
make_cumulant_L3abb                 :      0.000u      0.000s      0.000w      1 calls
Rotate RDMs                         :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************
